Year,Constituency Name,Constituency Type,Candidates,Party,Vote Count,Vote Percentage
2011,Chua Chu Kang,GRC,Gan Kim Yong | Low Yen Ling | Alex Yam ZiMing | Yeo Khirn Hai Alvin | Zaqy Bin Mohamad,PAP,89710,0.612
2011,Chua Chu Kang,GRC,"Jeisialn Sivalingam | Nor Lella Mardiiiah Bte Mohamed | Hazel Poa Koon Koon | Tony Tan Lay Thiam | Teo Kway Huang, Sebastian",NSP,56885,0.388
2011,East Coast,GRC,Gerald Giam Yean Song | Glenda Han Su May | Mohamed Fazli Bin Talip | Png Eng Huat | Eric Tan Heng Chong,WP,49429,0.4517
2011,East Coast,GRC,Lee Yi Shyan | Lim Siang Keat Raymond | Lim Swee Say | Mohd Maliki Bin Osman | Tan Soon Neo Jessica,PAP,59992,0.5483
2011,Holland-Bukit Timah,GRC,Ang Yong Guan | Michelle Lee Juen | Tan Jee Say | Wijeysingha Vincent Rene,SDP,32406,0.3992
2011,Holland-Bukit Timah,GRC,De Souza Christopher Jamed | Liang Eng Hwa | Sim Ann | Vivian Balakrishnan,PAP,48773,0.6008
2011,Hong Kah North,SMC,Amy Khor Lean Suan,PAP,18156,0.7061
2011,Hougang,SMC,Desmond Choo Pey Ching,PAP,8065,0.352
2011,Hougang,SMC,Yaw Shin Leong,WP,14850,0.648
2011,Joo Chiat,SMC,Charles Chong You Fook,PAP,9666,0.5102
2011,Joo Chiat,SMC,Yee Jenn Jong,WP,9278,0.4898
2011,Jurong,GRC,Abdul Rasheed | Christopher Neo Ting Wei | Noraini Yunus | Ong Beng Ssson Elvin | Ong Hock Siong,NSP,37786,0.3304
2011,Jurong,GRC,Ang Wei Neng | Halimah Binte Yacob | Desmond Lee Ti-Seng (Li ZhiSheng) | Ong Kim Huat | Tharman Shanmugaratnam,PAP,76595,0.6696
2011,Marine Parade,GRC,Abdul Salim Bin Harun | Cheo Chai Chen | Ng Chung Hon | Nicole Rebecca Seah Xue Ling | Yeo Tiong Boon,NSP,59926,0.4336
2011,Marine Parade,GRC,Fatimah Binte Abdul Lateef | Goh Chok Tong | Seah Kian Peng | Tan Chuan-Jin | Tin Pei Ling,PAP,78286,0.5664
2011,Moulmein-Kallang,GRC,Chan Sio Phing Frieda | L Somasundaram | Mohd Rahizan Bin Ya'acob | Toh Hong Boon,WP,31773,0.4145
2011,Moulmein-Kallang,GRC,Lui Tuck Yew | Phua Lay Peng Denise | Edwin Tong Chun Fai | Yaacob Bin Ibrahim,PAP,44886,0.5855
2011,Mountbatten,SMC,Jeannette Chong-Aruldoss,NSP,8461,0.4138
2011,Mountbatten,SMC,Lim Biow Chuan,PAP,11985,0.5862
2011,Nee Soon,GRC,"Chong Cham Weng | Oon Kheng Faye, Angela | Poh Lee Guan | Sajeev S/O Kunju Raman Kamalasanan | Yam Poh Nam",WP,57523,0.416
2011,Nee Soon,GRC,K Shanmugam | Lee Bee Wah | Lim Wee Kiak | Muhammad Faishal Ibrahim | Tay Teck Guan Patrick,PAP,80740,0.584
2011,Pasir Ris-Punggol,GRC,Gan Thiam Poh | Janil Arusha Puthucheary | Low Penny | Teo Chee Hean | Teo Ser Luck | Zainal Bin Sapari,PAP,100493,0.6479
2011,Pasir Ris-Punggol,GRC,Harminder Pal Singh | Lee Song Juan | Jeffrey Lim| Mohd Shafni | Sidney Ssoon | Tan Keng Hong,SDA,54601,0.3521
2011,Pioneer,SMC,Chia Steve,NSP,9437,0.3927
2011,Pioneer,SMC,Cedric Foo Chee Keng,PAP,14593,0.6073
2011,Potong Pasir,SMC,Loh Woon Lee Lina,SPP,7878,0.4964
2011,Potong Pasir,SMC,Sitoh Yih Pin,PAP,7992,0.5036
2011,Punggol East,SMC,Lee Li Lian,WP,12777,0.4101
2011,Punggol East,SMC,Lim Bak Chuan Desmond,SDA,1387,0.0445
2011,Punggol East,SMC,Michael Palmer,PAP,16994,0.5454
2011,Radin Mas,SMC,Tan Chin Siong,PAP,18609,0.671
